"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"240","Roschon Johnson","CHI","rb","13","34","115.5","0","0","0","0","0","0","0","151.2936","689.6166","4.433","13.1256","10.427","78.2288","0.3366","1.057","0.5284","0.0996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","Khalil Shakir","BUF","wr","13","34","146.8","0","0","0","0","0","0","0","0","0","0","82.1878","54.606","693.9588","3.7582","0.4928","0.2464","0.2274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"242","Deonte Harty","BUF","wr","13","34","146.6","0","0","0","0","0","0","0","0","0","0","81.4998","54.2654","719.7838","3.6144","3.0806","1.5402","0.1066","2003.0736","1.3252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"243","Greg Dortch","ARZ","wr","14","34","145.7","0","0","0","0","0","0","0","15.6306","85.5808","0.7176","91.5812","69.0958","520.0276","2.1852","3.2008","1.6004","0.1352","2183.1124","1.5162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","Josh Reynolds","DET","wr","9","34","145.5","0","0","0","0","0","0","0","8.1282","39.4786","0.4446","78.5952","49.6514","652.5464","4.1332","2.1224","1.0612","0.1362","1453.4106","1.1648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245","Sterling Shepard","NYG","wr","13","34","145.1","0","0","0","0","0","0","0","0","0","0","89.0648","58.9584","657.4318","3.4184","0.4862","0.243","0.0846","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246","Ko Kieft","TB","te","5","34","102.6","0","0","0","0","0","0","0","0","0","0","59.1944","41.348","435.178","2.9456","0.495","0.2476","0.1412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"247","Michael Wilson","ARZ","wr","14","34","144.9","0","0","0","0","0","0","0","0","0","0","92.652","60.0586","673.661","2.9266","0.5706","0.2852","0.1242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"248","Kyle Philips","TEN","wr","7","34","143.3","0","0","0","0","0","0","0","0","0","0","87.445","57.809","652.6758","3.5234","2.3184","1.1592","0.1236","657.9884","0.5978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"249","Tony Jones Jr.","DEN","rb","9","34","111.1","0","0","0","0","0","0","0","78.1064","314.5976","2.2008","43.829","34.8464","245.1574","1.2148","0.7646","0.3822","0.0926","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","Ty Montgomery","NE","rb","11","34","110.3","0","0","0","0","0","0","0","85.8254","282.03","1.9036","44.975","35.8862","261.205","1.473","0.8914","0.4458","0.1146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"251","Keaontay Ingram","ARZ","rb","14","34","110.3","0","0","0","0","0","0","0","148.3582","642.0676","3.8944","14.7826","11.866","88.8134","0.3834","1.0164","0.5082","0.092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"252","Tank Dell","HST","wr","7","34","141.2","0","0","0","0","0","0","0","0","0","0","83.2194","53.7306","663.971","3.5158","0.5104","0.2552","0.1362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"253","Kyren Williams","LA","rb","10","34","108.8","0","0","0","0","0","0","0","81.015","355.103","2.297","37.3594","30.2734","226.8194","1.1222","0.7738","0.3868","0.0906","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"254","C.J. Uzomah","NYJ","te","7","34","97.3","0","0","0","0","0","0","0","0","0","0","52.8706","40.573","393.9906","2.8752","0.3964","0.1982","0.1482","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"255","Trent Sherfield","BUF","wr","13","34","138.9","0","0","0","0","0","0","0","0","0","0","80.528","50.269","672.6154","3.5586","0.4098","0.2048","0.0952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"256","Peyton Hendershot","DAL","te","7","34","95.3","0","0","0","0","0","0","0","0","0","0","52.2292","38.1226","396.8754","2.897","0.4526","0.2264","0.1658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"257","Deon Jackson","IND","rb","11","34","105.1","0","0","0","0","0","0","0","46.3112","192.4378","1.3884","49.859","40.3796","285.7852","1.4668","0.6906","0.3452","0.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"258","Michael Carter","NYJ","rb","7","34","102.5","0","0","0","0","0","0","0","90.8134","386.0574","2.4246","31.8686","25.7004","190.715","0.8032","0.669","0.3344","0.0634","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"259","Josh Oliver","MIN","te","13","34","91.8","0","0","0","0","0","0","0","0","0","0","50.2552","36.9672","376.0472","2.8828","0.5308","0.2654","0.111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"260","Brycen Hopkins","LA","te","10","34","91","0","0","0","0","0","0","0","0","0","0","48.7906","34.9076","401.7496","2.6482","0.4146","0.2072","0.1398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"261","DeeJay Dallas","SEA","rb","5","34","100.8","0","0","0","0","0","0","0","53.3144","234.821","1.6424","43.5862","35.2482","266.216","1.1772","3.2268","1.6134","0.0668","2057.892","1.522","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"262","Trey Palmer","TB","wr","5","34","132.5","0","0","0","0","0","0","0","0","0","0","80.2684","49.8942","627.968","3.3012","0.474","0.237","0.115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"263","Zach Pascal","ARZ","wr","14","34","131.7","0","0","0","0","0","0","0","0","0","0","93.1422","59.1884","570.3666","2.6016","0.6622","0.331","0.1008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
